iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
165	3.55284e+06	782.56	0	15.7159	8.30069	71498.1	3.98156	1.70248	0.302613	0.575209	0.156175	0.546337
166	3.57202e+06	787.68	0	15.7709	8.40727	71984.3	3.78844	1.58905	0.293974	0.569299	0.150034	0.549783
167	3.59579e+06	789.92	0	15.7959	8.47753	72298.1	3.19012	1.23691	0.258148	0.551903	0.139963	0.552971
168	3.62396e+06	792.16	0	15.8295	8.5433	72621.5	3.1778	1.27469	0.246887	0.524567	0.134133	0.554389
169	3.64991e+06	795.04	0	15.8561	8.60885	72893.4	3.01247	1.16681	0.242537	0.521361	0.134374	0.553427
170	3.6728e+06	798.72	0	15.8847	8.6825	73180.1	3.1094	1.24952	0.242068	0.511876	0.130068	0.550751
171	3.69426e+06	803.36	0	15.9185	8.76724	73504	3.18443	1.28766	0.247465	0.514506	0.135694	0.547743
172	3.71231e+06	805.12	0	15.9531	8.82755	73819.5	3.11685	1.23009	0.245999	0.526668	0.134956	0.545069
173	3.72644e+06	809.12	0	15.9804	8.91138	74143.6	3.24291	1.3386	0.24277	0.510338	0.134995	0.54276
174	3.74032e+06	812.96	0	16.0165	8.99953	74521.7	3.40905	1.43878	0.249492	0.515801	0.138088	0.541079
175	3.753e+06	817.44	0	16.0584	9.10063	74959.7	3.69834	1.60025	0.272889	0.527088	0.142404	0.540346
176	3.7681e+06	823.04	0	16.129	9.21884	75535.2	3.94856	1.71838	0.291177	0.552912	0.152588	0.541357
177	3.78542e+06	827.68	0	16.1949	9.32944	76094.1	3.98758	1.69952	0.303458	0.576837	0.160424	0.543794
178	3.80638e+06	831.2	0	16.2517	9.42293	76577.4	3.79118	1.58465	0.29463	0.570606	0.154035	0.547123
179	3.83202e+06	833.28	0	16.2834	9.49077	76908.3	3.19189	1.2325	0.258696	0.553097	0.143648	0.550296
180	3.85994e+06	834.88	0	16.3159	9.55048	77223.7	3.17997	1.27037	0.247537	0.526018	0.13769	0.55161
181	3.88681e+06	836.16	0	16.332	9.59849	77432.6	3.01275	1.16192	0.242994	0.522402	0.137836	0.550361
182	3.91073e+06	838.08	0	16.3649	9.65934	77739.6	3.11038	1.24464	0.242652	0.513191	0.133613	0.547883
183	3.93156e+06	840.16	0	16.4082	9.72466	78097.8	3.18528	1.28259	0.248054	0.515808	0.139402	0.54502
184	3.94999e+06	841.28	0	16.4335	9.7794	78386.6	3.11725	1.22478	0.246557	0.527945	0.138613	0.542363
185	3.96597e+06	843.52	0	16.4483	9.84624	78645.3	3.24013	1.33219	0.24304	0.510982	0.138514	0.539638
186	3.97863e+06	846.24	0	16.4868	9.92666	79040.8	3.40949	1.43413	0.249884	0.516656	0.141736	0.538211
187	3.99371e+06	850.24	0	16.5303	10.0259	79487.9	3.70064	1.59633	0.273423	0.528163	0.1462	0.537678
188	4.0097e+06	855.04	0	16.5908	10.1386	80032.2	3.95015	1.71391	0.291658	0.553866	0.156586	0.538588
189	4.02769e+06	858.56	0	16.6472	10.2395	80548	3.98709	1.69391	0.303807	0.577545	0.164517	0.540819
190	4.04801e+06	861.28	0	16.7008	10.3301	81043.3	3.79373	1.58103	0.295079	0.571473	0.15799	0.54422
191	4.07231e+06	861.76	0	16.735	10.3866	81395.2	3.19495	1.22935	0.259149	0.554074	0.147358	0.547496
192	4.10073e+06	862.56	0	16.7612	10.4392	81688.1	3.18104	1.26632	0.247908	0.526855	0.141143	0.548727
193	4.12862e+06	863.2	0	16.7905	10.489	81987.2	3.0177	1.15929	0.243685	0.523938	0.141503	0.548146
194	4.15398e+06	863.52	0	16.8138	10.5337	82244.1	3.11315	1.24107	0.243211	0.514451	0.137086	0.545519
195	4.17614e+06	864.8	0	16.8491	10.5917	82572.6	3.18734	1.27835	0.248639	0.517112	0.142999	0.542658
196	4.19548e+06	866.88	0	16.8785	10.6534	82874.8	3.11836	1.21977	0.247159	0.52935	0.14219	0.540154
197	4.2114e+06	867.84	0	16.8975	10.7075	83145	3.24233	1.32785	0.243674	0.512424	0.142107	0.537683
198	4.22471e+06	868.96	0	16.9237	10.7738	83493.1	3.41073	1.42933	0.250447	0.517934	0.145343	0.536077
199	4.23922e+06	872.32	0	16.9594	10.8672	83910.7	3.70251	1.59194	0.274006	0.529391	0.149864	0.53548
200	4.25419e+06	875.2	0	17.0063	10.9634	84405.9	3.95082	1.70878	0.292153	0.554901	0.160416	0.536237
201	4.27229e+06	878.56	0	17.0569	11.063	84902.3	3.98736	1.68887	0.304139	0.578238	0.168477	0.538311
202	4.2929e+06	879.04	0	17.1042	11.1345	85375.6	3.79177	1.57527	0.295212	0.571791	0.16171	0.541554
203	4.31817e+06	878.56	0	17.1309	11.1812	85697.1	3.19235	1.22387	0.259131	0.554078	0.150751	0.544549
204	4.3476e+06	879.04	0	17.154	11.2323	85989.6	3.18063	1.26256	0.247944	0.526934	0.14426	0.545874
205	4.3754e+06	880.32	0	17.1853	11.2868	86301.5	3.01715	1.15534	0.243729	0.52404	0.144631	0.545215
206	4.40154e+06	881.6	0	17.2157	11.3406	86603.1	3.1143	1.23802	0.243377	0.514814	0.140117	0.542826
207	4.42458e+06	881.6	0	17.2528	11.3859	86933.1	3.18722	1.27426	0.2488	0.517494	0.146151	0.53992
208	4.44366e+06	882.24	0	17.2717	11.4353	87200	3.11916	1.2163	0.247334	0.529775	0.145296	0.537343
209	4.46067e+06	883.2	0	17.3043	11.4925	87539.9	3.24539	1.32545	0.243996	0.513136	0.145347	0.535185
210	4.47486e+06	884.8	0	17.3312	11.5617	87889.2	3.41285	1.42602	0.250827	0.518799	0.148675	0.533647
211	4.48928e+06	887.36	0	17.3603	11.6491	88290.5	3.70358	1.58776	0.274427	0.530299	0.153282	0.532953
212	4.50456e+06	889.92	0	17.413	11.7456	88820.6	3.95377	1.70544	0.292656	0.555942	0.164132	0.533934
213	4.52383e+06	891.04	0	17.4679	11.826	89335.7	3.99028	1.68548	0.304613	0.579205	0.17235	0.536013
214	4.54414e+06	891.68	0	17.5081	11.8969	89773.5	3.79389	1.57211	0.295502	0.572415	0.165347	0.538969
215	4.57104e+06	892.16	0	17.533	11.951	90093	3.1928	1.22026	0.259299	0.554505	0.154132	0.54186
216	4.60034e+06	892.32	0	17.5553	11.9985	90379.2	3.18032	1.25921	0.247951	0.526976	0.147351	0.543009
217	4.62951e+06	892.48	0	17.5708	12.0412	90621.5	3.01554	1.15134	0.243659	0.523928	0.147646	0.542149
